Material,Material_Condition,pH,Time_days,Cumulative_Release_mg_m2,Cement_Type,Form_Type,Stat_Measure,Material_encoded,Cement_Type_encoded,Form_Type_encoded,Stat_Measure_encoded,log_Time,log_pH,sqrt_Time,sqrt_pH,pH_squared,pH_cubed,Time_squared,Time_pH_interaction,log_Time_pH,Material_pH_interaction,Material_Time_interaction,pH_normalized,Time_normalized,Alkalinity_index,Reactivity_score,Leaching_potential,Material_group,log_Release,Cement_Content,Additives_Count
Al,"Cement concrete statistics Monolith-[X](M,1,1)",12.08,0.08,3.5674155283815563,Unknown,Concrete,X,0,4,0,6,0.07696104113612832,2.4915511925066687,0.282842712474619,3.4756294393965534,145.9264,1762.790912,0.0064,0.9664,0.9296893769244302,0.0,0.0,2.3022533039897715,-2.0083374870318833,5.08,0.9296893769244302,41.274218797656246,0,1.5189475150391403,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.91,1.0,12.646574974275742,Unknown,Concrete,X,0,4,0,6,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,2.6134885725103953,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.84,2.25,26.655822339454495,Unknown,Concrete,X,0,4,0,6,1.1786549963416462,2.4714836294558595,1.5,3.4409301068170506,140.1856,1659.797504,5.0625,26.64,13.95527515668509,0.0,0.0,2.224857851973721,-1.6427943359539383,4.84,13.95527515668509,210.27839999999998,0,3.319836278656489,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.67,4.0,45.477406112462404,Unknown,Concrete,X,0,4,0,6,1.6094379124341003,2.4570214462984645,2.0,3.4161381705077445,136.1889,1589.324463,16.0,46.68,18.78214043810595,0.0,0.0,2.170036073462352,-1.348001472181402,4.67,18.78214043810595,272.3778,0,3.8389663044559144,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.88,9.0,69.77407624039608,Unknown,Concrete,X,0,4,0,6,2.302585092994046,2.474856313934499,3.0,3.4467375879228173,141.13440000000003,1676.6766720000003,81.0,106.92,27.354710904769266,0.0,0.0,2.237757093976396,-0.5057361471170125,4.880000000000001,27.354710904769266,423.4032000000001,0,4.259492778851973,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.88,16.0,95.77340436943032,Unknown,Concrete,X,0,4,0,6,2.833213344056216,2.474856313934499,4.0,3.4467375879228173,141.13440000000003,1676.6766720000003,256.0,190.08,33.65857452738785,0.0,0.0,2.237757093976396,0.6734353079731327,4.880000000000001,33.65857452738785,564.5376000000001,0,4.57237220828263,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.83,28.0,128.5152621971792,Unknown,Concrete,X,0,4,0,6,3.367295829986474,2.4706386779902956,5.291502622129181,3.4394767043839676,139.9489,1655.595487,784.0,331.24,39.83510966873999,0.0,0.0,2.2216330414730523,2.6948720881276675,4.83,39.83510966873999,740.5399713140946,0,4.8637987289997335,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.83,36.0,163.3181388255061,Unknown,Concrete,X,0,4,0,6,3.6109179126442243,2.4706386779902956,6.0,3.4394767043839676,139.9489,1655.595487,1296.0,425.88,42.717158906581176,0.0,0.0,2.2216330414730523,4.042496608230691,4.83,42.717158906581176,839.6934000000001,0,5.101804419591676,80,1
Al,"Cement concrete statistics Monolith-[X](M,1,1)",11.66,64.0,196.62427446618432,Unknown,Concrete,X,0,4,0,6,4.174387269895637,2.4561641809223462,8.0,3.4146742157927745,135.9556,1585.2422960000001,4096.0,746.24,48.673355566983126,0.0,0.0,2.166811262961683,8.759182428591272,4.66,48.673355566983126,1087.6448,0,5.286367624257543,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",12.02,0.25,12.492463100000002,CEM_I,Mortar,Unknown,0,0,1,5,0.22314355131420976,2.4865719291070616,0.5,3.4669871646719432,144.4804,1736.6544079999999,0.0625,3.005,2.682185486796801,0.0,0.0,2.282904440985759,-1.979700465979694,5.02,2.682185486796801,72.2402,0,2.6021312406542254,80,1
